#{"t_start": 1743034456.1590307, "env_id": "PandaReach-v3"}
r,l,t
-20.0,21,425.948539
-50.0,50,426.16869
-50.0,50,426.36708
-50.0,50,426.584728
-50.0,50,426.785368
-50.0,50,427.0021
-50.0,50,427.21082
-24.0,25,427.31693
-50.0,50,427.523172
-50.0,50,427.743124
-50.0,50,427.986848
-50.0,50,428.189809
-50.0,50,428.40795
-50.0,50,428.639521
-50.0,50,428.870669
-50.0,50,429.091568
-13.0,14,429.161256
-50.0,50,432.415536
-50.0,50,432.652883
-50.0,50,432.872125
-13.0,14,432.965755
-50.0,50,433.1731
-8.0,9,433.220564
-50.0,50,433.431419
-50.0,50,433.64076
-50.0,50,433.861147
-50.0,50,434.062031
-50.0,50,434.26628
-50.0,50,434.473365
-17.0,18,434.606614
-50.0,50,434.938802
-50.0,50,435.167295
-50.0,50,435.391036
-43.0,44,435.577693
-50.0,50,435.794667
-50.0,50,436.00808
-37.0,38,436.176005
-44.0,45,436.360088
-50.0,50,436.574624
-12.0,13,436.635757
-50.0,50,436.854958
-50.0,50,437.074863
-50.0,50,437.290304
-50.0,50,437.494517
-4.0,5,437.527179
-50.0,50,437.746078
-50.0,50,437.965286
-50.0,50,438.178201
-50.0,50,438.389938
-50.0,50,438.617382
-50.0,50,438.831082
-50.0,50,439.032179
-50.0,50,439.269916
-50.0,50,439.481555
-50.0,50,439.744382
-50.0,50,439.968826
-50.0,50,440.170825
-50.0,50,440.389647
-50.0,50,440.639323
-1.0,2,440.657804
-50.0,50,440.868687
-50.0,50,441.08194
-50.0,50,441.285574
-50.0,50,444.837349
-50.0,50,445.054554
-50.0,50,445.265943
-50.0,50,445.495925
-11.0,12,445.555403
-50.0,50,445.782309
-50.0,50,446.023467
-50.0,50,446.240661
-50.0,50,446.457294
-50.0,50,446.702833
-50.0,50,446.915952
-50.0,50,447.139238
-4.0,5,447.167174
-50.0,50,447.384898
-11.0,12,447.436248
-50.0,50,447.642317
-50.0,50,447.866305
-50.0,50,448.083912
-46.0,47,448.284099
-50.0,50,448.498232
-50.0,50,448.709131
-50.0,50,448.925872
-50.0,50,449.133672
-50.0,50,449.341489
-50.0,50,449.541427
-50.0,50,449.777864
-50.0,50,449.975493
-50.0,50,450.206645
-14.0,15,450.290352
-11.0,12,450.345254
-50.0,50,450.545149
-50.0,50,450.755611
-50.0,50,450.973425
-10.0,11,451.021006
-50.0,50,451.23472
-7.0,8,451.287157
-50.0,50,451.507014
-50.0,50,451.704901
-50.0,50,451.914931
-50.0,50,452.118012
-50.0,50,452.337004
-50.0,50,452.559536
-8.0,9,452.61729
-50.0,50,452.822489
-50.0,50,453.037088
-50.0,50,453.270015
-50.0,50,453.471394
-50.0,50,456.410709
-50.0,50,456.612555
